Vehicle Type,Brand,Model,Fuel Type,Battery Brand,Series,Item Code,Battery Model,Dimensions,Voltage,Ampere Hour,CCA,Total Warranty,Free Warranty,Pro-rata Warranty,Terminal Layout Image URL,Country of Origin,Base Price,Special Discount,Total Price,Rebate
Two Wheelers,BAJAJ,4S Champion (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Aspire (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 150 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 160 Street (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 180 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 200 (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Avenger 220 Cruise (ES),Petrol,Amaron,,,12V 8AH,,12,8,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,BM 100 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 100 (KS),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 125 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 125X (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 150 Alloy (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 150 F1 (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 150 FF Roade (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BM 150 Spoke (KS),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,BYK 92 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Boxer (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Boxer 100S Alloy (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Boxer 101S Spoke (ES),Petrol,Amaron,,,12V 4AH,,12,4,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Bravo (ES),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,CT 100 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,CT 100 Alloy (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,CT 100 Spoke (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,CT 100B (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,CT 110 (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,CT 125 (ES),Petrol,Amaron,,,12V 3AH,,12,3,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/l-layout.png,,,,,
Two Wheelers,BAJAJ,Caliber (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Chetak (KS),Petrol,Amaron,,,12V 5AH,,12,5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
Two Wheelers,BAJAJ,Classic SL125 (KS),Petrol,Amaron,,,12V 2.5AH,,12,2.5,,48,24,24,https://amaron-prod-images.s3.ap-south-1.amazonaws.com/terminal-layout/r-layout.png,,,,,
